_ ime,F_cup
2023/03/21 13:27:54,6.89
2023/03/21 13:27:55,7.31
2023/03/21 13:27:56,7.36
2023/03/21 13:27:57,7.27
2023/03/21 13:27:58,7.34
2023/03/21 13:27:59,7.49
2023/03/21 13:28:00,7.3
2023/03/21 13:28:01,7.07
2023/03/21 13:28:02,7.27
2023/03/21 13:28:03,7.2
2023/03/21 13:28:04,6.7
2023/03/21 13:28:05,6.61
2023/03/21 13:28:06,8.26
2023/03/21 13:28:07,9.27
2023/03/21 13:28:08,8.38
2023/03/21 13:28:09,8.68
2023/03/21 13:28:10,9.59
2023/03/21 13:28:11,9.27
2023/03/21 13:28:12,8.55
2023/03/21 13:28:13,8.17
2023/03/21 13:28:14,7.91
2023/03/21 13:28:15,6.91
2023/03/21 13:28:16,6.65
2023/03/21 13:28:17,6.92
2023/03/21 13:28:18,7.83
2023/03/21 13:28:19,7.53
2023/03/21 13:28:20,7.67
2023/03/21 13:28:21,8.21
2023/03/21 13:28:22,8.11
2023/03/21 13:28:23,8.03
2023/03/21 13:28:24,7.91
2023/03/21 13:28:25,6.9
2023/03/21 13:28:26,6.31
2023/03/21 13:28:27,6.65
2023/03/21 13:28:28,7.02
2023/03/21 13:28:29,7.05
2023/03/21 13:28:30,7.33
2023/03/21 13:28:31,7.19
2023/03/21 13:28:32,8.22
2023/03/21 13:28:33,8.22
2023/03/21 13:28:34,7.76
2023/03/21 13:28:35,7.77
2023/03/21 13:28:36,7.59
2023/03/21 13:28:37,7.82
2023/03/21 13:28:38,8.51
2023/03/21 13:28:39,7.72
2023/03/21 13:28:40,7.15
2023/03/21 13:28:41,7.1
2023/03/21 13:28:42,6.71
2023/03/21 13:28:43,6.09
2023/03/21 13:28:44,5.45
2023/03/21 13:28:45,5.34
2023/03/21 13:28:46,6.29
2023/03/21 13:28:47,7.1
2023/03/21 13:28:48,7.53
2023/03/21 13:28:49,7.11
2023/03/21 13:28:50,7.4
2023/03/21 13:28:51,7.68
2023/03/21 13:28:52,8
2023/03/21 13:28:53,8.25
2023/03/21 13:28:54,8.42
2023/03/21 13:28:55,8.47
2023/03/21 13:28:56,8.35
2023/03/21 13:28:57,8.47
2023/03/21 13:28:58,8.64
2023/03/21 13:28:59,8.51
2023/03/21 13:29:00,8.09
2023/03/21 13:29:01,8.23
2023/03/21 13:29:02,8.6
2023/03/21 13:29:03,9.95
2023/03/21 13:29:04,10.82
2023/03/21 13:29:05,9.87
2023/03/21 13:29:06,9.53
2023/03/21 13:29:07,8.65
2023/03/21 13:29:08,8.65
2023/03/21 13:29:09,8.94
2023/03/21 13:29:10,8.59
2023/03/21 13:29:11,8.11
2023/03/21 13:29:12,7.78
2023/03/21 13:29:13,7.48
2023/03/21 13:29:14,7.94
2023/03/21 13:29:15,9.06
2023/03/21 13:29:16,9.43
2023/03/21 13:29:17,9.13
2023/03/21 13:29:18,8.69
2023/03/21 13:29:19,7.91
2023/03/21 13:29:20,7.74
2023/03/21 13:29:21,8.03
2023/03/21 13:29:22,7.29
2023/03/21 13:29:23,7.52
2023/03/21 13:29:24,8.01
2023/03/21 13:29:25,8.33
2023/03/21 13:29:26,8.12
2023/03/21 13:29:27,7.99
2023/03/21 13:29:28,7.71
2023/03/21 13:29:29,7.96
2023/03/21 13:29:30,8.24
2023/03/21 13:29:31,8.18
2023/03/21 13:29:32,8.61
